date,temperature,humidity,luminosity
2019-11-27 16:57:06.935,23.2,34.0,273
2019-11-27 16:57:04.657,23.2,34.0,271
2019-11-27 16:57:02.381,23.3,34.1,273
2019-11-27 16:57:00.102,23.3,34.0,273
2019-11-27 16:56:57.826,23.3,34.0,271
2019-11-27 16:56:55.548,23.2,34.0,273
2019-11-27 16:56:53.271,23.3,34.1,273
2019-11-27 16:56:50.994,23.3,34.0,273
2019-11-27 16:56:48.716,23.3,34.0,277
2019-11-27 16:56:46.438,23.2,34.0,273
2019-11-27 16:56:44.161,23.2,34.0,273
2019-11-27 16:56:41.883,23.3,34.0,275
2019-11-27 16:56:39.606,23.2,34.0,275
2019-11-27 16:56:37.329,23.2,33.9,273
2019-11-27 16:56:35.052,23.3,34.0,275
2019-11-27 16:56:32.771,23.3,34.0,275
2019-11-27 16:56:30.494,23.2,33.9,275
2019-11-27 16:56:28.217,23.2,33.9,273
2019-11-27 16:56:25.939,23.3,34.0,273
2019-11-27 16:56:23.661,23.3,34.0,273
2019-11-27 16:56:21.384,23.3,34.0,275
2019-11-27 16:56:19.107,23.2,33.9,271
2019-11-27 16:56:16.829,23.3,34.0,273
2019-11-27 16:56:14.552,23.2,33.9,273
2019-11-27 16:56:12.275,23.3,34.0,273
2019-11-27 16:56:09.998,23.2,33.9,273
2019-11-27 16:56:07.720,23.3,34.0,271
2019-11-27 16:56:05.443,23.2,33.9,273
2019-11-27 16:56:03.165,23.3,33.9,273
2019-11-27 16:56:00.889,23.2,33.8,273
2019-11-27 16:55:58.611,23.2,33.8,271
2019-11-27 16:55:56.334,23.2,33.8,271
2019-11-27 16:55:54.056,23.2,33.8,275
2019-11-27 16:55:51.779,23.3,33.9,277
2019-11-27 16:55:49.502,23.2,33.8,277
2019-11-27 16:55:47.224,23.2,33.8,271
2019-11-27 16:55:44.947,23.3,33.9,273
2019-11-27 16:55:42.665,23.2,33.8,273
2019-11-27 16:55:40.388,23.2,33.8,271
2019-11-27 16:55:38.111,23.3,33.9,271
2019-11-27 16:55:35.833,23.2,33.9,273
2019-11-27 16:55:33.556,23.2,33.9,273
2019-11-27 16:55:31.279,23.2,33.9,271
2019-11-27 16:55:29.002,23.2,34.0,273
2019-11-27 16:55:26.724,23.2,33.9,273
