date,temperature,humidity,luminosity
2019-11-27 16:55:42.665,23.2,33.8,273
2019-11-27 16:55:40.388,23.2,33.8,271
2019-11-27 16:55:38.111,23.3,33.9,271
2019-11-27 16:55:35.833,23.2,33.9,273
2019-11-27 16:55:33.556,23.2,33.9,273
2019-11-27 16:55:31.279,23.2,33.9,271
2019-11-27 16:55:29.002,23.2,34.0,273
2019-11-27 16:55:26.724,23.2,33.9,273
2019-11-27 16:55:24.446,23.2,34.0,273
2019-11-27 16:55:22.169,23.2,34.0,273
2019-11-27 16:55:19.892,23.3,34.1,273
2019-11-27 16:55:17.615,23.3,34.1,271
2019-11-27 16:55:15.337,23.3,34.1,271
2019-11-27 16:55:13.061,23.3,34.2,269
2019-11-27 16:55:10.782,23.3,34.2,271
2019-11-27 16:55:08.506,23.3,34.2,269
2019-11-27 16:55:06.227,23.3,34.2,269
2019-11-27 16:55:03.950,23.2,34.1,271
2019-11-27 16:55:01.673,23.3,34.2,269
2019-11-27 16:54:59.396,23.3,34.2,269
2019-11-27 16:54:57.118,23.3,34.2,271
2019-11-27 16:54:54.840,23.2,34.1,275
2019-11-27 16:54:52.564,23.2,34.1,271
2019-11-27 16:54:50.282,23.2,34.1,271
2019-11-27 16:54:48.004,23.2,34.1,271
2019-11-27 16:54:45.727,23.2,34.1,271
2019-11-27 16:54:43.449,23.2,34.1,269
2019-11-27 16:54:41.172,23.2,34.2,267
2019-11-27 16:54:38.895,23.2,34.2,269
2019-11-27 16:54:36.618,23.2,34.2,269
2019-11-27 16:54:34.340,23.2,34.2,267
2019-11-27 16:54:32.063,23.3,34.3,267
2019-11-27 16:54:29.785,23.2,34.3,267
2019-11-27 16:54:27.508,23.3,34.3,267
2019-11-27 16:54:25.231,23.2,34.3,263
2019-11-27 16:54:22.954,23.3,34.3,263
2019-11-27 16:54:20.676,23.2,34.3,265
2019-11-27 16:54:18.399,23.2,34.3,267
2019-11-27 16:54:16.121,23.2,34.2,265
2019-11-27 16:54:13.844,23.2,34.3,267
2019-11-27 16:54:11.567,23.2,34.3,265
2019-11-27 16:54:09.289,23.2,34.3,265
2019-11-27 16:54:07.012,23.2,34.3,265
2019-11-27 16:54:04.734,23.2,34.2,263
2019-11-27 16:54:02.457,23.2,34.2,261
2019-11-27 16:54:00.180,23.2,34.2,263
2019-11-27 16:53:57.898,23.2,34.2,261
2019-11-27 16:53:55.621,23.2,34.2,261
2019-11-27 16:53:53.344,23.2,34.2,263
2019-11-27 16:53:51.066,23.2,34.2,263
2019-11-27 16:53:48.789,23.2,34.2,263
2019-11-27 16:53:46.511,23.2,34.2,261
2019-11-27 16:53:44.234,23.2,34.1,261
2019-11-27 16:53:41.957,23.2,34.1,261
2019-11-27 16:53:39.679,23.2,34.1,267
2019-11-27 16:53:37.402,23.2,34.1,263
2019-11-27 16:53:35.124,23.2,34.1,260
2019-11-27 16:53:32.847,23.2,34.1,269
2019-11-27 16:53:30.570,23.2,34.1,271
2019-11-27 16:53:28.292,23.2,34.1,271
2019-11-27 16:53:26.015,23.2,34.1,271
2019-11-27 16:53:23.738,23.2,34.1,265
2019-11-27 16:53:21.461,23.2,34.1,265
2019-11-27 16:53:19.179,23.2,34.1,265
2019-11-27 16:53:16.902,23.2,34.1,265
2019-11-27 16:53:14.625,23.2,34.0,265
2019-11-27 16:53:12.347,23.2,34.0,265
2019-11-27 16:53:10.070,23.2,34.1,265
2019-11-27 16:53:07.793,23.2,34.0,263
