date,temperature,humidity,luminosity
2019-11-27 14:50:37.833,22.1,36.7,265
2019-11-27 14:50:40.111,22.2,36.9,263
2019-11-27 14:50:42.388,22.2,36.9,263
2019-11-27 14:50:44.666,22.2,36.9,265
2019-11-27 14:50:46.943,22.1,36.8,263
2019-11-27 14:50:49.220,22.2,36.9,267
2019-11-27 14:50:51.498,22.2,37.0,269
2019-11-27 14:50:53.775,22.2,37.0,267
2019-11-27 14:50:56.053,22.2,37.0,261
2019-11-27 14:50:58.330,22.2,37.0,261
2019-11-27 14:51:00.608,22.2,37.0,263
2019-11-27 14:51:02.884,22.2,37.0,265
2019-11-27 14:51:05.162,22.1,36.9,263
2019-11-27 14:51:07.439,22.2,37.0,263
2019-11-27 14:51:09.716,22.2,37.1,263
2019-11-27 14:51:11.994,22.2,37.1,263
2019-11-27 14:51:14.272,22.1,37.0,263
2019-11-27 14:51:16.554,22.1,37.1,263
2019-11-27 14:51:18.831,22.1,37.1,263
2019-11-27 14:51:21.107,22.1,37.1,263
2019-11-27 14:51:23.385,22.1,37.1,265
2019-11-27 14:51:25.662,22.2,37.1,263
2019-11-27 14:51:27.940,22.1,37.1,267
2019-11-27 14:51:30.217,22.1,37.1,263
2019-11-27 14:51:32.495,22.1,37.1,265
2019-11-27 14:51:34.772,22.2,37.2,260
2019-11-27 14:51:37.050,22.1,37.1,242
2019-11-27 14:51:39.328,22.1,37.1,240
2019-11-27 14:51:41.606,22.1,37.1,238
2019-11-27 14:51:43.882,22.1,37.1,238
2019-11-27 14:51:46.159,22.1,37.1,242
2019-11-27 14:51:48.436,22.2,37.1,240
2019-11-27 14:51:50.715,22.1,37.1,240
2019-11-27 14:51:52.992,22.2,37.1,242
2019-11-27 14:51:55.273,22.2,37.1,240
2019-11-27 14:51:57.551,22.2,37.1,240
2019-11-27 14:51:59.828,22.2,37.1,240
2019-11-27 14:52:02.106,22.2,37.0,240
2019-11-27 14:52:04.383,22.2,37.0,238
2019-11-27 14:52:06.660,22.2,37.0,240
2019-11-27 14:52:08.937,22.1,37.0,240
2019-11-27 14:52:11.214,22.2,37.1,260
2019-11-27 14:52:13.492,22.1,37.0,260
2019-11-27 14:52:15.769,22.2,37.2,237
2019-11-27 14:52:18.047,22.2,37.3,240
2019-11-27 14:52:20.324,22.2,37.3,240
2019-11-27 14:52:22.602,22.1,37.2,240
2019-11-27 14:52:24.879,22.1,37.2,240
2019-11-27 14:52:27.157,22.2,37.3,240
2019-11-27 14:52:29.434,22.2,37.3,238
2019-11-27 14:52:31.711,22.2,37.3,238
2019-11-27 14:52:33.989,22.2,37.3,238
2019-11-27 14:52:36.270,22.2,37.2,240
2019-11-27 14:52:38.548,22.2,37.2,240
2019-11-27 14:52:40.825,22.2,37.2,240
2019-11-27 14:52:43.101,22.2,37.2,220
2019-11-27 14:52:45.379,22.2,37.3,245
2019-11-27 14:52:47.656,22.2,37.2,245
2019-11-27 14:52:49.934,22.2,37.2,245
2019-11-27 14:52:52.211,22.2,37.2,245
2019-11-27 14:52:54.488,22.2,37.2,245
2019-11-27 14:52:56.766,22.2,37.2,245
2019-11-27 14:52:59.043,22.2,37.2,223
2019-11-27 14:53:01.321,22.2,37.3,220
2019-11-27 14:53:03.598,22.2,37.4,220
2019-11-27 14:53:05.875,22.2,37.4,222
2019-11-27 14:53:08.153,22.2,37.4,242
2019-11-27 14:53:10.430,22.2,37.4,242
2019-11-27 14:53:12.711,22.2,37.3,269
2019-11-27 14:53:14.989,22.2,37.3,267
2019-11-27 14:53:17.266,22.2,37.3,269
2019-11-27 14:53:19.544,22.2,37.3,267
2019-11-27 14:53:21.822,22.2,37.3,243
2019-11-27 14:53:24.099,22.2,37.6,245
2019-11-27 14:53:26.376,22.2,37.7,238
2019-11-27 14:53:28.653,22.2,37.6,234
2019-11-27 14:53:30.931,22.2,37.6,235
2019-11-27 14:53:33.208,22.2,37.5,234
2019-11-27 14:53:35.486,22.2,37.5,238
2019-11-27 14:53:37.763,22.2,37.4,235
2019-11-27 14:53:40.039,22.2,37.4,235
2019-11-27 14:53:42.317,22.2,37.4,235
2019-11-27 14:53:44.594,22.2,37.4,238
2019-11-27 14:53:46.875,22.2,37.4,235
2019-11-27 14:53:49.153,22.2,37.3,238
2019-11-27 14:53:51.430,22.2,37.3,237
2019-11-27 14:53:53.707,22.2,37.3,234
2019-11-27 14:53:55.986,22.2,37.3,229
2019-11-27 14:53:58.261,22.2,37.3,229
2019-11-27 14:54:00.540,22.2,37.3,223
2019-11-27 14:54:02.817,22.2,37.3,223
2019-11-27 14:54:05.094,22.2,37.3,225
2019-11-27 14:54:13.736,22.2,37.3,238
2019-11-27 14:54:16.014,22.2,37.3,231
2019-11-27 14:54:18.290,22.2,37.3,240
2019-11-27 14:54:20.567,22.2,37.3,237
2019-11-27 14:54:22.845,22.2,37.3,232
2019-11-27 14:54:25.123,22.2,37.3,232
2019-11-27 14:54:27.400,22.2,37.3,238
2019-11-27 14:54:29.678,22.2,37.3,245
