date,temperature,humidity,luminosity
2019-12-04 14:49:08.146,21.4,33.8,337
2019-12-04 14:49:10.419,21.4,33.8,337
2019-12-04 14:49:12.697,21.4,33.8,337
2019-12-04 14:49:14.974,21.4,33.8,337
2019-12-04 14:49:17.251,21.4,33.8,337
2019-12-04 14:49:19.528,21.4,33.8,340
2019-12-04 14:49:21.801,21.4,33.8,337
2019-12-04 14:49:24.079,21.4,33.8,337
2019-12-04 14:49:26.356,21.4,33.9,337
2019-12-04 14:49:28.633,21.4,33.9,340
2019-12-04 14:49:30.911,21.4,33.9,337
2019-12-04 14:49:33.184,21.4,33.9,337
2019-12-04 14:49:35.462,21.4,33.9,337
2019-12-04 14:49:37.739,21.4,33.9,337
2019-12-04 14:49:40.016,21.4,34.0,340
2019-12-04 14:49:42.294,21.4,34.0,337
2019-12-04 14:49:44.567,21.4,34.0,337
2019-12-04 14:49:46.844,21.4,34.0,337
2019-12-04 14:49:49.122,21.4,34.0,337
2019-12-04 14:49:51.399,21.4,34.0,340
2019-12-04 14:49:53.677,21.4,34.0,337
2019-12-04 14:49:55.950,21.4,34.0,337
2019-12-04 14:49:58.227,21.4,33.9,331
2019-12-04 14:50:00.504,21.4,33.9,326
2019-12-04 14:50:02.782,21.4,33.9,326
2019-12-04 14:50:05.060,21.4,33.9,326
2019-12-04 14:50:07.333,21.4,33.9,328
2019-12-04 14:50:09.610,21.4,33.9,331
2019-12-04 14:50:11.888,21.4,33.9,331
2019-12-04 14:50:14.165,21.4,33.9,331
2019-12-04 14:50:16.442,21.4,33.9,337
2019-12-04 14:50:18.715,21.4,33.9,337
2019-12-04 14:50:20.993,21.4,33.9,337
2019-12-04 14:50:23.270,21.4,33.9,334
2019-12-04 14:50:25.548,21.4,33.9,334
2019-12-04 14:50:27.825,21.4,33.9,334
2019-12-04 14:50:30.098,21.4,33.9,337
2019-12-04 14:50:32.376,21.4,33.9,334
2019-12-04 14:50:34.653,21.4,33.9,331
2019-12-04 14:50:36.930,21.4,33.9,334
2019-12-04 14:50:39.208,21.4,34.0,331
2019-12-04 14:50:41.481,21.4,33.9,328
2019-12-04 14:50:43.758,21.4,34.0,323
2019-12-04 14:50:46.035,21.4,34.0,256
2019-12-04 14:50:48.313,21.4,34.0,297
2019-12-04 14:50:50.590,21.4,34.0,305
2019-12-04 14:50:52.867,21.4,34.1,317
2019-12-04 14:50:55.141,21.4,34.1,317
2019-12-04 14:50:57.417,21.4,34.1,286
2019-12-04 14:50:59.696,21.4,34.1,295
2019-12-04 14:51:01.973,21.4,34.1,320
2019-12-04 14:51:04.250,21.4,34.1,323
2019-12-04 14:51:06.523,21.4,34.1,326
2019-12-04 14:51:08.801,21.4,34.1,331
2019-12-04 14:51:11.078,21.4,34.1,337
2019-12-04 14:51:13.355,21.4,34.1,340
2019-12-04 14:51:15.633,21.4,34.1,334
2019-12-04 14:51:17.906,21.4,34.1,305
2019-12-04 14:51:20.183,21.4,34.1,267
2019-12-04 14:51:22.461,21.4,34.1,225
2019-12-04 14:51:24.738,21.4,34.1,234
2019-12-04 14:51:27.015,21.4,34.1,243
2019-12-04 14:51:29.288,21.4,34.2,307
2019-12-04 14:51:31.565,21.4,34.2,212
2019-12-04 14:51:33.844,21.4,34.3,161
2019-12-04 14:51:36.121,21.5,34.5,157
2019-12-04 14:51:38.398,21.4,34.5,323
2019-12-04 14:51:40.671,21.4,34.5,317
2019-12-04 14:51:42.948,21.5,34.5,310
2019-12-04 14:51:45.226,21.5,34.4,305
2019-12-04 14:51:47.504,21.5,34.4,317
2019-12-04 14:51:49.781,21.5,34.4,300
2019-12-04 14:51:52.058,21.5,34.3,227
2019-12-04 14:51:54.331,21.5,34.4,194
2019-12-04 14:51:56.609,21.5,34.4,216
2019-12-04 14:51:58.886,21.5,34.4,317
2019-12-04 14:52:01.163,21.5,34.4,320
2019-12-04 14:52:03.437,21.5,34.4,323
2019-12-04 14:52:05.714,21.5,34.4,177
2019-12-04 14:52:07.991,21.5,34.4,167
2019-12-04 14:52:10.268,21.5,34.4,164
2019-12-04 14:52:12.547,21.5,34.4,288
2019-12-04 14:52:14.820,21.5,34.4,323
2019-12-04 14:52:17.097,21.5,34.4,331
2019-12-04 14:52:19.374,21.5,34.4,328
2019-12-04 14:52:21.652,21.5,34.3,326
2019-12-04 14:52:23.929,21.6,34.4,328
2019-12-04 14:52:26.206,21.5,34.3,326
2019-12-04 14:52:28.480,21.6,34.3,326
2019-12-04 14:52:30.757,21.5,34.2,326
2019-12-04 14:52:33.034,21.5,34.2,326
2019-12-04 14:52:35.311,21.5,34.1,326
2019-12-04 14:52:37.588,21.5,34.1,328
2019-12-04 14:52:39.862,21.5,34.1,326
2019-12-04 14:52:42.139,21.6,34.2,323
2019-12-04 14:52:44.416,21.5,34.1,326
2019-12-04 14:52:46.694,21.5,34.1,326
2019-12-04 14:52:48.972,21.5,34.1,326
2019-12-04 14:52:51.249,21.5,34.1,326
2019-12-04 14:52:53.522,21.6,34.2,326
2019-12-04 14:52:55.800,21.5,34.1,326
2019-12-04 14:52:58.077,21.5,34.1,323
